BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,BNK_BRNCH_NME,BNK_IFSC_CDE,BNK_VIFSC_CDE
6408,13,CHITRADURGA,3,chitradurga,Federal Bank,6408,Chitradurga,FDRL0001594,FDRL0001594000
6409,13,CHITRADURGA,6,hiriyur,Federal Bank,6409,Hiriyur,FDRL0001988,FDRL0001988000
6410,24,DAKSHINA KANNADA,2,Bantwal,Federal Bank,6410,B C Road (Bantwal Cross Road),FDRL0002071,FDRL0002071000
6411,24,DAKSHINA KANNADA,3,Belthangady,Federal Bank,6411,Belthangadi,FDRL0001901,FDRL0001901000
6412,24,DAKSHINA KANNADA,7,Kadaba,Federal Bank,6412,Kadaba,FDRL0002012,FDRL0002012000
6413,24,DAKSHINA KANNADA,1,Mangalore,Federal Bank,6413,Mangalore,FDRL0001175,FDRL0001175000
6414,24,DAKSHINA KANNADA,1,Mangalore,Federal Bank,6414,Mangalore Kankanady,FDRL0001770,FDRL0001770000
6415,24,DAKSHINA KANNADA,6,MUDABIDRI,Federal Bank,6415,Moodabidri,FDRL0001962,FDRL0001962000
6416,24,DAKSHINA KANNADA,4,Puttur,Federal Bank,6416,Nellyadi,FDRL0001644,FDRL0001644000
6417,24,DAKSHINA KANNADA,4,Puttur,Federal Bank,6417,Puttur,FDRL0001894,FDRL0001894000
6418,24,DAKSHINA KANNADA,5,Sullia,Federal Bank,6418,Sullya,FDRL0001900,FDRL0001900000
6419,9,DHARWAD,1,DHARWAD,Federal Bank,6419,Dharwad,FDRL0001638,FDRL0001638000
6420,9,DHARWAD,3,Hubli,Federal Bank,6420,Hubli,FDRL0001338,FDRL0001338000
6421,4,GULBARGA,3,Gulbarga,Federal Bank,6421,Gulbarga,FDRL0001604,FDRL0001604000
6422,23,HASSAN,3,Arsikere,Federal Bank,6422,Arsikere,FDRL0002030,FDRL0002030000
6423,23,HASSAN,8,Channarayapatna,Federal Bank,6423,Channarayapatna,FDRL0001987,FDRL0001987000
6424,23,HASSAN,4,Hassan,Federal Bank,6424,Hassan,FDRL0001354,FDRL0001354000
6425,11,HAVERI,4,Haveri,Federal Bank,6425,Haveri,FDRL0002043,FDRL0002043000
6426,11,HAVERI,7,Ranebennur,Federal Bank,6426,Ranibennur,FDRL0002111,FDRL0002111000
6427,25,KODAGU,3,Virajpet,Federal Bank,6427,Gonikopal,FDRL0001961,FDRL0001961000
6428,25,KODAGU,2,somawarpet,Federal Bank,6428,Kushal Nagar,FDRL0001931,FDRL0001931000
6429,7,KOPPAL,3,Gangavathi,Federal Bank,6429,Gangawati,FDRL0001685,FDRL0001685000
6430,7,KOPPAL,4,koppal,Federal Bank,6430,Koppal,FDRL0002117,FDRL0002117000
6431,22,MANDYA,5,mandya,Federal Bank,6431,Mandya,FDRL0002144,FDRL0002144000
6432,26,MYSORE,4,Mysore,Federal Bank,6432,Handpost,FDRL0002172,FDRL0002172000
6433,26,MYSORE,4,Mysore,Federal Bank,6433,Hunsur,FDRL0001989,FDRL0001989000
6434,26,MYSORE,4,Mysore,Federal Bank,6434,Mysore,FDRL0001281,FDRL0001281000
6435,26,MYSORE,4,Mysore,Federal Bank,6435,Mysore Jayalaxmipuram,FDRL0001689,FDRL0001689000
6436,6,RAICHUR,3,Raichur,Federal Bank,6436,Raichur,FDRL0001573,FDRL0001573000
6437,29,RAMANAGARA,3,Channapatna,Federal Bank,6437,Channapatna,FDRL0001648,FDRL0001648000
6438,29,RAMANAGARA,2,Ramanagar,Federal Bank,6438,Ramanagaram,FDRL0001669,FDRL0001669000
6439,15,SHIMOGA,6,shimoga,Federal Bank,6439,Shimoga,FDRL0001590,FDRL0001590000
6440,18,TUMKUR,10,Kunigal,Federal Bank,6440,Kunigal,FDRL0002070,FDRL0002070000
6441,18,TUMKUR,6,Tumkur,Federal Bank,6441,Tumkur,FDRL0001603,FDRL0001603000
6442,16,UDUPI,7,HEBRI,Federal Bank,6442,Hebri,FDRL0001896,FDRL0001896000
6443,16,UDUPI,3,Karkala,Federal Bank,6443,Karkala,FDRL0001963,FDRL0001963000
6444,16,UDUPI,1,KUNDAPURA,Federal Bank,6444,Kundapura,FDRL0002014,FDRL0002014000
6445,16,UDUPI,2,UDUPI,Federal Bank,6445,Udipi,FDRL0001574,FDRL0001574000
6446,10,UTTARA KANNADA,11,Bhatkal,Federal Bank,6446,Bhatkal,FDRL0001986,FDRL0001986000
6447,10,UTTARA KANNADA,1,Karwar,Federal Bank,6447,Karwar,FDRL0001628,FDRL0001628000
6448,1,BELAGAVI,6,Belgaum,PUNJAB NATIONAL BANK,6448,BELGAUM COLLEGE ROAD,punb0123300,punb0123300000
6449,12,BALLARY,6,SANDUR,STATE BANK OF INDIA,6449,DONIMALAI TOWNSHIP,SBIN0040184,SBIN0040184000
6450,12,BALLARY,5,BELLARY,STATE BANK OF INDIA,6450,MEDICAL COLLEGE BR BELLARY,SBIN0040456,SBIN0040456000
6451,20,BANGALORE URBAN,4,Bangalore-East,STATE BANK OF INDIA,6451,A D E BANGALORE,SBIN0006538,SBIN0006538000
6452,20,BANGALORE URBAN,2,bangalore-South,STATE BANK OF INDIA,6452,GANDHINAGAR,SBIN0013283,SBIN0013283000
6453,20,BANGALORE URBAN,2,bangalore-South,STATE BANK OF INDIA,6453,GIRINAGAR 3RD PHASE BANGALORE,SBIN0016222,SBIN0016222000
6454,20,BANGALORE URBAN,1,BANGALORE-NORTH,STATE BANK OF INDIA,6454,HUNASAMARANAHALLI,SBIN0040899,SBIN0040899000
6455,20,BANGALORE URBAN,4,Bangalore-East,STATE BANK OF INDIA,6455,MAIN ROAD WHITEFIELD,SBIN0040023,SBIN0040023000
6456,1,BELAGAVI,6,Belgaum,STATE BANK OF INDIA,6456,MALAMARUTHI EXTN BELGAUM,SBIN0040419,SBIN0040419000
6457,27,CHAMARAJANAGAR,2,Chamarajanagara,STATE BANK OF INDIA,6457,DISTRICT OFFICE CHAMRAJANAGAR,SBIN0040700,SBIN0040700000
6458,17,CHIKMAGALUR,6,Chikmagalur,STATE BANK OF INDIA,6458,CHICKMAGALUR MARKET ROAD,SBIN0041085,SBIN0041085000
6459,8,GADAG,3,Gadag,STATE BANK OF INDIA,6459,GADAG-BETGERI,SBIN0005621,SBIN0005621000
