BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,Bnk_Brnch_Nme_Eng
37,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,37,JAMBAGI K D  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
38,2,Bagalkot,17,MUDHOL,Bagalkot DCC Bank Ltd.,38,NINGAPURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
39,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,39,KOPPA S R  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  BEELAGI 
40,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,40,KOPPA S K  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  BEELAGI  
41,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,41,INANHANCHINALA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
42,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,42,ANAGAVADI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
43,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,43,YADAHALLI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
44,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,44,AMALAJHARI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
45,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,45,CHIKKALAGUNDI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
46,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,46,BEELAGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
47,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,47,KUNDARAGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
48,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,48,NAGARALA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
49,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,49,GALAGALI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
50,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,50,SONNA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
51,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,51,HONNIHALA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
52,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,52,TUMMARAMATTI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
53,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,53,BADAGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
54,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,54,TEGGI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
55,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,55,ARAKERI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
56,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,56,MUNDAGANURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
57,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,57,ROLLI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
58,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,58,BUDIHALA S A  PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
59,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,59,GIRISAGARA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
60,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,60,HERAKAL PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
61,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,61,KATARAKI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
62,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,62,SUNAGA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
63,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,63,BADAGANDI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
64,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,64,MANNIKERI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
65,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,65,TOLAMATTI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
66,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,66,SIDDAPURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
67,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,67,DAVALESHVARA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
68,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,68,DAVALESHVARA 2 PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI   
69,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,69,KORTI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
70,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,70,KONTIKAL PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
71,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,71,GIRISAGARA NAM 2 PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
72,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,72,KOLURA PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
73,2,Bagalkot,13,BILGI,Bagalkot DCC Bank Ltd.,73,JANAMATTI PRATHAMIKA KRUSHI PATTINA SAHAKARI SANGHA NI  
74,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,74,HESARAGHATTA RAITARA SEVA SAHAKARA BYANK NI   
75,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,75,GOPALAPURA VYAVASAYA SEVA SAHAKARA SANGHA NI   
76,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,76,CHOLANAYAKANAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
77,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,77,TAVAREKERE VYAVASAYA SEVA SAHAKARA BYANK NI   
78,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,78,ALURU VYAVASAYA SEVA SAHAKARA SANGHA NI  BENGALURU UTTARA TALLUKU  
79,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,79,SONDEKOPPA PRATHAMIKA KRUSHI PATTINA SAHAKARA SANGHA NI   
80,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,80,MADANAYKANAHALLI VYAVASAYA SEVA SAHAKARA SANGHA NI   
81,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,81,DASANAPURA VYAVASAYA SEVA SAHAKARA SANGHA NI   
82,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,82,RAMOHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
83,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,83,KENGERI RAITARA SEVA SAHAKARA BYANK NI   
84,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,84,RAVUGODLU VYAVASAYA SEVA SAHAKARA BYANK NI   
85,20,Bangalore Urban,2,BANGALORE NORTH,BRDCC Bank Ltd.,85,AGARA  ವ್ಯವಸಾಂiÀi SEVA  SAHAKARA  BYANK  NI     
86,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,86,KASABA VYAVASAYA SEVA SAHAKARA BYANK NI   
87,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,87,ARALUMALLIGE VYAVASAYA SEVA SAHAKARA BYANK NI   
88,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,88,DODDABELAVANGALA VYAVASAYA SEVA SAHAKARA BYANK NI   
89,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,89,KONAGHATTA VYAVASAYA SEVA SAHAKARA BYANK NI   
90,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,90,GUNDAMAGERE VYAVASAYA SEVA SAHAKARA BYANK NI   
91,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,91,TIPPURU VYAVASAYA SEVA SAHAKARA BYANK NI   
92,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,92,KADATIPPURU VYAVASAYA SEVA SAHAKARA BYANK NI   
93,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,93,HULIKUNTE VYAVASAYA SEVA SAHAKARA BYANK NI   
94,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,94,RAJAGHATTA VYAVASAYA SEVA SAHAKARA BYANK NI   
95,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,95,BASHETTIHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
96,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,96,SASALU VYAVASAYA SEVA SAHAKARA BYANK NI   
97,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,97,SAKKAREGOLLAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI   
98,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,98,GANTIGANAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI  
99,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,99,KANASAVADI VYAVASAYA SEVA SAHAKARA BYANK NI   
100,21,Bangalore Rural,8,Doddaballapur,BRDCC Bank Ltd.,100,TUBAGERE RAITARA SEVA SAHAKARA BYANK NI   
